,Ki,P1_init,P2_init,P3_init,P4_init,P5_init,k1,k2,k3,k4,k6,k7,k8_FA,k8_FA_coA,k9,k10,k11,k12,k13,k14,k19,k20,k21,k22,k23,Tox_coA,unreg,reg
269,9.20E-002,1.10E+004,8.83E+001,8.58E+001,1.63E+002,3.58E+001,1.07E+002,1.11E-003,3.65E-003,2.13E+002,1.51E+000,1.99E-001,1.14E-006,4.74E-009,2.88E+001,4.67E-002,5.47E+001,1.10E-001,2.30E+001,5.62E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.74E+007,8.05E+003,3.94E+002
270,7.22E-003,3.25E+003,8.64E+001,2.49E+001,1.01E+002,3.09E+001,1.23E+002,1.38E-003,6.65E-003,9.12E+001,1.82E+000,1.75E+000,7.22E-006,2.00E-009,2.99E+001,5.76E-002,4.86E+001,5.42E-002,4.01E+001,1.09E-001,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.22E+007,3.63E+000,1.67E-001
271,5.67E-002,1.05E+004,4.21E+001,1.87E+002,7.01E+001,7.29E+001,1.26E+002,2.75E-003,2.18E-004,7.07E+002,7.15E-001,1.21E+000,7.15E-006,6.71E-009,4.29E-001,4.19E-002,6.60E+001,2.98E-002,7.25E+001,5.50E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.26E+006,2.41E+001,2.92E+000
272,1.29E-001,1.31E+004,4.10E+001,1.73E+002,4.10E+000,1.39E+002,1.74E+002,9.66E-004,1.23E-003,5.32E+002,1.13E+000,1.55E+000,3.69E-006,9.03E-009,3.64E+001,5.51E-002,1.55E+001,4.46E-002,8.45E+001,2.22E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.75E+007,2.63E+003,8.24E+002
273,1.68E-001,1.28E+004,1.41E+001,1.61E+002,1.88E+002,8.90E+001,9.86E+001,3.02E-003,2.14E-003,1.75E+002,1.61E-001,1.41E+000,8.45E-006,2.43E-009,2.55E+001,6.02E-002,6.87E+001,4.59E-002,2.26E+001,4.74E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.83E+006,1.93E+005,2.78E+002
274,7.29E-002,9.19E+003,8.32E+001,1.38E+002,3.08E+001,7.02E+000,8.11E+001,5.89E-004,5.81E-003,3.59E+002,3.34E-001,8.77E-001,6.13E-006,1.66E-009,1.07E+001,9.22E-002,2.37E+001,2.82E-002,6.60E+001,2.31E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.52E+007,1.64E+004,7.88E+003
275,9.39E-002,6.19E+003,1.93E+001,1.32E+002,7.25E+001,4.59E+001,1.12E+002,4.80E-003,3.27E-003,9.67E+001,1.07E+000,6.06E-002,8.85E-006,4.38E-009,8.87E+000,6.36E-002,1.92E+001,6.71E-003,8.28E+001,5.42E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.19E+007,5.39E+001,1.68E+000
276,8.80E-002,1.51E+004,6.23E+001,4.01E+001,7.74E+000,8.81E+001,1.95E+002,6.34E-004,4.07E-003,9.05E+002,4.60E-001,7.85E-001,9.26E-006,8.49E-009,2.79E+001,5.50E-002,9.97E+000,8.45E-002,6.93E+001,2.20E-003,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,9.10E+006,2.97E+005,2.93E+005
277,1.26E-001,1.04E+004,1.21E+002,1.99E+002,9.78E+001,1.59E+002,1.45E+002,6.03E-004,4.94E-003,4.88E+002,4.00E-001,1.61E+000,3.39E-006,5.87E-009,1.10E+001,7.58E-002,7.89E+001,1.25E-001,7.70E+001,1.03E-001,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,3.47E+005,3.56E+005,3.73E+005
278,4.96E-002,1.07E+004,1.80E+002,1.30E+002,8.57E+001,1.96E+002,1.13E+002,1.77E-003,1.03E-003,3.76E+002,1.15E+000,1.12E+000,5.35E-006,8.40E-009,2.73E+001,5.31E-002,3.73E+001,5.94E-002,1.31E+001,1.19E-001,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.39E+007,7.10E+001,1.03E+000
279,5.15E-002,1.09E+004,1.05E+002,5.28E+001,1.22E+002,1.78E+002,1.40E+001,2.83E-003,9.48E-005,4.85E+002,1.19E+000,1.22E+000,4.97E-006,2.69E-009,3.60E+001,2.80E-002,1.48E+001,1.24E-001,3.14E+001,6.98E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,5.67E+006,1.90E+003,1.01E+001
280,1.58E-001,1.04E+004,1.82E+002,1.03E+002,3.25E+001,2.94E+001,1.51E+002,2.93E-003,5.27E-003,4.62E+002,7.09E-001,1.66E+000,7.62E-006,5.09E-009,3.05E+000,6.24E-002,5.17E+000,1.14E-001,1.58E+001,8.64E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.44E+007,3.06E+003,3.33E+002
281,2.54E-002,1.51E+004,6.10E+001,3.95E+001,1.41E+002,1.78E+002,1.95E+002,2.59E-003,1.62E-003,2.30E+002,1.23E+000,1.73E+000,1.63E-007,7.65E-009,1.31E+001,6.68E-002,4.15E+001,2.86E-002,1.04E+000,8.02E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,7.02E+006,4.44E+002,1.75E+000
282,5.99E-002,2.68E+003,1.29E+002,1.65E+002,1.30E+002,1.40E+002,1.16E+002,5.78E-003,1.20E-003,3.18E+000,2.62E-001,7.04E-001,6.51E-006,3.42E-009,1.71E+001,6.02E-003,8.67E+001,2.72E-002,2.30E+001,5.57E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.84E+007,5.44E-002,2.28E-004
283,1.61E-001,1.47E+003,1.71E+002,1.16E+002,1.52E+002,1.72E+002,4.01E+001,3.25E-003,4.72E-003,6.47E+002,1.58E+000,1.37E+000,5.24E-006,4.19E-009,2.18E+001,5.14E-002,1.72E+001,3.53E-002,2.03E+000,2.65E-003,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,7.79E+006,1.02E+005,1.07E+005
284,5.16E-002,1.56E+004,1.04E+002,3.98E+001,1.35E+002,6.41E+001,5.34E+001,3.23E-003,6.44E-003,6.02E+002,1.82E+000,1.27E+000,7.30E-006,8.44E-010,2.61E+001,1.01E-001,2.61E+001,1.13E-001,2.29E+001,7.61E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,2.98E+006,1.30E+005,1.32E+005
285,8.37E-002,1.87E+004,1.60E+002,1.15E+002,9.60E+001,9.90E+001,3.02E+001,1.39E-003,2.68E-003,2.94E+002,9.58E-001,1.72E+000,4.91E-006,5.61E-009,2.18E+001,6.34E-002,1.10E+001,7.66E-002,1.75E+001,4.92E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,4.07E+006,1.17E+005,1.04E+005
286,8.63E-002,1.14E+004,8.78E+000,1.84E+002,7.66E+001,2.02E+001,9.76E+001,2.50E-003,1.67E-003,6.65E+002,1.79E-001,1.55E+000,3.34E-006,1.88E-009,1.29E+001,3.45E-003,2.49E+001,8.39E-002,3.59E+000,1.53E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,4.11E+006,1.20E+005,1.80E+001
287,1.54E-001,1.72E+004,1.17E+002,1.78E+002,1.29E+002,6.76E+001,1.07E+002,6.70E-004,3.40E-003,4.94E+002,6.70E-001,1.13E+000,7.95E-006,5.82E-009,3.22E+001,9.40E-002,4.45E+001,5.56E-002,4.52E+001,1.15E-001,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.27E+007,3.59E+005,2.01E+005
288,1.26E-002,1.64E+004,8.04E+001,1.17E+000,1.27E+002,7.47E+001,1.27E+002,7.67E-004,5.60E-003,5.19E+002,6.19E-001,1.18E+000,4.10E-006,7.07E-009,3.54E+001,4.03E-002,8.72E+001,9.04E-002,1.34E+001,3.03E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,9.01E+006,3.75E+004,1.33E+004
289,1.26E-001,1.48E+004,1.98E+002,1.11E+002,1.50E+002,6.43E+000,1.41E+002,5.59E-003,2.50E-003,1.80E+002,8.57E-001,1.26E+000,8.85E-006,7.20E-009,2.31E+001,1.11E-001,6.72E+001,5.91E-002,4.34E+001,4.72E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.61E+007,1.16E+001,3.05E+000
290,1.47E-002,6.50E+002,1.73E+002,1.04E+002,7.23E+001,8.19E+001,7.20E+001,4.85E-003,1.57E-003,8.13E+002,1.21E+000,1.15E+000,2.16E-006,5.12E-009,1.90E+000,1.29E-002,3.25E+001,8.80E-002,5.27E+001,9.68E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,7.93E+006,2.78E+001,7.26E-001
291,6.28E-002,1.17E+003,9.05E+001,1.23E+002,4.70E+001,1.36E+002,5.10E+001,3.63E-003,4.21E-003,3.56E+002,1.22E+000,1.47E+000,7.84E-006,2.57E-009,3.68E+001,1.36E-003,5.50E+001,3.21E-002,7.14E+001,2.52E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,3.01E+006,9.75E+004,1.27E+001
292,3.01E-002,1.48E+004,2.89E+001,4.82E+001,5.58E+001,1.44E+002,1.29E+002,5.36E-003,1.56E-004,2.58E+002,6.82E-001,4.17E-001,3.03E-006,7.62E-009,1.93E+000,3.70E-002,8.67E+001,6.90E-002,7.97E+001,7.29E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,9.42E+005,1.35E+002,1.84E+001
293,1.18E-001,9.44E+003,1.60E+002,1.04E+002,1.43E+002,6.56E+001,1.82E+002,1.42E-003,2.45E-003,3.27E+002,4.52E-002,7.37E-001,8.38E-006,7.69E-010,1.47E+001,1.23E-001,7.75E+001,5.03E-002,8.04E+001,1.28E-001,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.20E+007,5.48E+003,2.47E+001
294,3.33E-002,9.65E+003,1.40E+002,8.83E+001,1.96E+002,2.25E+001,1.62E+002,5.78E-003,5.16E-003,8.97E+002,3.46E-001,9.49E-001,3.01E-006,7.63E-009,3.05E+001,9.50E-002,2.49E+001,1.29E-001,2.21E+001,1.96E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.77E+007,1.87E+002,7.52E+001
295,1.34E-001,4.52E+003,6.13E+001,7.70E+001,1.83E+002,1.81E+002,9.31E+001,4.46E-003,4.39E-003,4.49E+002,1.58E+000,9.18E-002,3.47E-006,3.78E-009,3.51E+001,8.31E-002,7.54E+001,7.21E-002,8.77E+001,4.31E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,5.06E+006,1.88E+005,1.93E+005
296,1.07E-001,9.91E+003,8.22E+001,6.42E+000,5.46E+001,1.77E+002,1.64E+002,3.02E-004,3.88E-003,6.23E+002,6.75E-001,1.03E+000,2.88E-006,6.38E-009,2.71E+001,5.63E-003,7.35E+001,1.24E-002,2.22E+001,4.50E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.99E+006,1.99E+005,2.02E+005
297,6.65E-002,2.17E+003,1.11E+001,1.60E+000,1.25E+002,5.07E+001,1.40E+002,5.03E-003,4.43E-003,8.92E+002,1.25E+000,4.22E-001,4.31E-006,4.13E-009,3.36E+001,4.77E-002,7.09E+000,4.35E-002,7.09E+001,4.82E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.57E+007,1.90E+005,1.24E+005
298,9.86E-002,1.55E+004,3.46E+001,4.14E+001,5.00E+001,9.22E+001,5.30E+001,1.81E-003,3.26E-003,9.24E+002,1.46E+000,8.80E-001,3.37E-006,1.34E-009,1.69E+001,3.63E-002,7.79E+001,8.94E-002,4.07E+001,1.98E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.07E+007,8.21E+004,8.81E+004
299,1.61E-001,1.78E+004,5.76E+001,1.79E+002,8.49E+001,1.04E+002,1.92E+002,3.72E-003,4.84E-003,7.43E+002,1.49E+000,4.17E-001,8.78E-006,9.12E-009,1.13E+001,2.17E-002,6.21E+001,6.12E-003,3.71E+001,1.13E-001,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.44E+006,5.34E+005,2.33E+005
300,7.94E-002,9.27E+003,9.15E+001,6.38E+001,3.57E+001,1.62E+002,5.72E+001,3.02E-003,1.68E-003,8.98E+002,1.37E+000,2.77E-001,2.78E-007,4.03E-009,1.39E+001,9.12E-002,4.92E+001,8.67E-002,7.09E+001,1.12E-001,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.83E+007,3.97E+004,1.39E+004
301,1.17E-001,6.51E+003,4.83E+001,1.19E+002,1.17E+002,1.28E+002,5.55E+001,3.72E-003,2.10E-003,5.03E+002,7.82E-001,2.47E-001,3.96E-006,8.36E-009,7.45E+000,7.79E-002,8.35E+001,1.03E-001,7.36E+001,7.29E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.01E+007,9.64E+004,8.13E+004
302,6.46E-002,1.62E+004,1.76E+002,2.89E+001,4.89E+001,1.23E+002,1.41E+001,5.76E-003,4.73E-003,5.28E+002,1.09E+000,1.13E-001,7.83E-006,1.71E-009,2.36E+001,1.10E-002,2.50E+001,1.29E-001,6.09E+001,7.78E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,8.51E+006,3.09E+004,2.34E+004
303,1.36E-001,1.80E+003,1.38E+002,1.44E+002,6.96E+001,1.46E+002,4.66E+001,3.82E-003,3.49E-003,6.27E+002,4.59E-001,6.03E-001,6.69E-006,1.20E-010,2.77E+001,1.25E-001,5.28E+001,5.13E-002,2.67E+001,1.52E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,4.22E+006,1.15E+005,1.16E+005
304,1.26E-001,1.86E+004,1.99E+002,6.10E+001,2.00E+002,1.71E+002,1.34E+002,1.03E-003,1.94E-003,6.97E+002,1.61E+000,1.21E+000,2.62E-006,6.50E-009,1.07E+001,1.18E-002,5.60E+001,5.84E-002,7.82E+001,7.45E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,5.31E+006,2.61E+005,2.47E+005
305,9.83E-003,1.20E+004,1.63E+002,1.00E+002,5.07E+001,1.40E+002,3.96E+001,1.11E-003,3.14E-003,5.39E+002,1.03E+000,4.71E-001,8.31E-006,2.79E-009,7.14E-001,3.86E-002,3.94E+001,7.64E-002,2.32E+001,1.17E-001,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,3.20E+006,1.19E+004,5.31E+003
306,3.34E-002,1.34E+004,1.06E+002,6.64E+001,9.12E+001,1.81E+002,1.92E+002,6.41E-005,3.09E-003,1.38E+002,1.53E+000,1.04E+000,5.35E-006,6.67E-009,2.38E+001,1.55E-002,6.47E+001,7.02E-002,1.58E+001,7.91E-003,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.51E+007,3.84E+004,2.96E+004
307,1.40E-003,1.18E+004,1.13E+002,5.26E+001,1.93E+002,1.16E+002,1.42E+002,3.51E-003,5.45E-003,9.18E+001,1.69E+000,1.13E+000,8.49E-006,7.47E-009,7.98E+000,6.45E-002,8.21E+001,1.02E-001,5.66E+001,1.11E-001,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.41E+007,7.61E-002,8.01E-003
308,1.48E-001,1.08E+004,7.73E+001,1.08E+002,8.45E+001,1.91E+002,3.20E+001,5.02E-004,2.13E-003,9.19E+002,1.18E+000,1.83E+000,8.45E-006,5.15E-009,1.56E+001,1.01E-001,6.85E+001,1.29E-001,4.04E+001,4.64E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,4.35E+006,3.59E+004,3.78E+004
309,9.64E-002,8.23E+003,7.32E+001,1.97E+002,2.98E+001,1.90E+002,1.29E+002,5.68E-003,1.05E-004,4.19E+002,9.83E-001,1.74E+000,9.18E-006,4.08E-009,1.05E+001,5.78E-002,7.51E+001,8.73E-002,3.27E+001,1.65E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.73E+007,1.30E+000,5.74E-001
310,1.61E-002,1.55E+004,6.98E+001,6.64E+000,1.77E+001,5.96E+001,1.53E+002,4.24E-003,3.61E-003,1.71E+002,1.13E+000,5.73E-001,4.07E-006,2.74E-009,2.80E+001,3.89E-002,2.46E+000,1.20E-001,3.47E+000,8.98E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.43E+006,1.85E+003,1.72E+001
311,1.33E-001,5.19E+003,1.83E+002,1.52E+002,8.94E+001,1.49E+002,8.81E+001,4.29E-003,5.71E-004,2.15E+002,3.01E-002,4.40E-001,5.57E-006,9.01E-009,3.14E+001,8.16E-002,6.43E+001,2.41E-002,8.66E+001,1.39E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,2.66E+006,1.20E+003,6.60E+001
312,4.02E-003,1.08E+004,1.19E+002,1.96E+002,1.38E+002,2.93E+001,1.25E+002,1.56E-004,3.48E-003,4.83E+002,5.69E-001,9.76E-001,4.54E-006,8.44E-009,8.03E+000,7.16E-002,3.72E+001,4.15E-002,9.54E+000,4.92E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,8.19E+006,1.30E+002,2.30E+000
313,3.23E-002,5.33E+003,5.45E+001,1.70E+002,1.34E+002,1.04E+002,1.15E+002,3.26E-003,4.06E-003,4.24E+002,1.84E+000,1.78E+000,7.69E-006,8.74E-009,1.43E+001,2.02E-002,8.80E+001,1.67E-002,6.06E+001,1.13E-001,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,4.47E+006,4.71E+004,5.75E+000
314,2.66E-002,4.89E+003,1.98E+002,9.56E+001,1.40E+002,1.87E+001,5.97E+001,9.06E-004,5.46E-003,9.70E+002,1.75E+000,1.01E+000,8.00E-007,5.94E-009,6.64E-001,8.13E-002,5.64E+001,1.16E-001,4.72E+001,1.27E-001,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.79E+007,2.16E+004,8.41E+003
315,5.84E-002,1.05E+004,1.01E+002,1.32E+002,1.16E+002,1.68E+002,1.31E+002,3.46E-003,3.89E-003,5.53E+002,3.31E-001,1.67E+000,5.58E-006,3.22E-009,1.83E+001,8.89E-002,4.06E+001,7.02E-002,6.56E+001,8.38E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.10E+007,5.06E+004,1.51E+003
316,1.74E-001,1.83E+004,2.83E+001,1.86E+002,1.54E+002,1.99E+002,1.66E+002,1.21E-004,2.09E-003,5.88E+002,1.27E+000,3.22E-001,7.04E-006,5.12E-009,3.67E+001,8.57E-002,6.60E+001,1.23E-001,4.05E+001,8.70E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.42E+007,9.18E+004,9.56E+004
317,5.54E-002,4.94E+003,1.75E+002,5.55E+001,1.05E+002,1.13E+002,9.11E+001,3.58E-003,4.22E-003,1.60E+002,9.52E-002,5.89E-001,8.72E-006,8.99E-009,3.07E+001,9.99E-002,5.44E+001,4.35E-003,1.04E+001,2.67E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.05E+007,9.32E+002,3.29E-001
318,1.10E-001,4.93E+003,1.46E+002,5.17E+001,7.67E+001,1.50E+002,6.30E+001,4.12E-003,2.16E-003,7.66E+002,5.90E-001,2.11E-001,4.20E-006,5.68E-009,1.03E+001,8.24E-002,2.74E+001,5.73E-002,5.26E+001,8.95E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.75E+007,8.15E+004,3.01E+004
319,1.13E-002,2.15E+002,1.63E+002,1.96E+002,1.13E+001,1.90E+002,4.76E+001,1.95E-003,9.85E-004,4.96E+002,9.35E-001,1.55E+000,2.51E-006,3.30E-009,1.78E+000,7.79E-002,5.13E+001,2.53E-002,6.56E+001,8.31E-003,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.09E+007,3.30E+000,2.72E+000
320,8.60E-002,1.02E+004,1.46E+002,7.34E+001,1.80E+002,1.62E+002,3.40E+001,4.08E-003,2.47E-004,3.09E+001,1.20E+000,1.29E+000,6.23E-006,2.79E-010,2.25E+001,9.03E-002,7.24E+000,7.32E-002,9.12E+001,1.39E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,3.01E+006,2.35E+001,4.85E+001
321,8.34E-002,1.10E+004,1.96E+002,2.06E-001,9.34E+001,1.51E+002,1.34E+002,5.24E-003,1.99E-005,7.87E+002,1.81E-001,7.89E-001,8.69E-006,4.55E-009,1.79E+001,8.38E-002,6.90E+000,9.33E-002,5.94E+001,2.04E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,5.47E+006,6.91E+000,7.14E+000
322,1.24E-001,1.70E+004,3.38E+001,1.42E+002,3.25E+001,1.53E+002,4.52E+001,5.38E-003,4.15E-003,8.27E+002,6.83E-001,1.59E+000,6.12E-006,1.27E-009,2.06E+001,5.67E-002,3.09E+001,6.78E-002,3.02E+001,1.57E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.19E+007,5.78E+004,5.63E+004
323,3.75E-002,5.50E+003,1.15E+001,1.81E+002,6.42E+001,3.89E+001,1.18E+002,4.27E-003,6.61E-003,5.90E+002,9.40E-001,1.72E+000,4.90E-006,7.72E-009,1.24E+001,9.63E-002,2.06E+001,6.51E-002,7.93E+001,8.81E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,7.84E+005,2.32E+005,2.31E+005
324,7.00E-003,1.90E+004,9.67E+001,1.07E+002,1.04E+002,8.77E+001,1.65E+002,2.73E-003,5.27E-003,5.47E+001,1.54E+000,1.51E+000,4.98E-006,1.73E-009,1.20E+001,6.41E-002,4.38E+001,6.14E-002,1.14E+001,1.14E-001,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.72E+007,2.24E-001,1.32E-002
325,1.11E-001,1.66E+003,5.20E+001,1.42E+002,2.00E+002,4.14E+000,6.30E+001,1.71E-003,1.83E-003,9.20E+002,1.75E+000,1.75E+000,4.93E-006,1.43E-009,1.74E+001,1.11E-001,8.78E+001,7.13E-002,7.95E+001,3.97E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.20E+007,1.35E+005,9.95E+004
326,1.07E-001,4.75E+003,9.76E+000,1.09E+002,1.58E+002,1.90E+001,3.20E+000,5.81E-003,3.07E-003,2.31E+001,4.85E-001,6.88E-001,3.39E-006,4.69E-009,2.62E+001,7.23E-002,1.46E+001,5.02E-002,2.03E+001,6.53E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.58E+007,1.58E+003,5.85E+000
327,1.25E-001,1.12E+004,7.83E+000,1.24E+002,5.90E+001,7.81E+001,2.49E+001,5.48E-003,4.78E-003,3.15E+002,1.58E+000,1.58E+000,8.79E-007,8.37E-009,1.13E+001,1.20E-001,7.46E+000,1.01E-001,9.85E+000,2.84E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.65E+007,8.00E+004,7.19E+004
328,1.58E-001,1.22E+003,2.17E+001,3.23E+001,9.31E+001,7.48E+001,9.75E+001,5.01E-003,4.45E-004,4.39E+002,1.06E+000,3.90E-002,9.13E-006,7.84E-009,2.72E+001,4.47E-003,7.43E+000,1.14E-002,1.01E+001,1.08E-001,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.22E+007,1.50E+003,3.55E-001
329,3.79E-003,1.36E+003,1.08E+002,1.36E+002,1.81E+002,1.24E+002,9.83E+001,5.88E-003,6.56E-003,7.85E+001,1.56E+000,2.51E-002,6.59E-006,6.23E-009,3.03E+001,4.42E-002,7.08E+001,4.70E-002,6.37E+001,3.04E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.80E+007,1.45E-001,1.37E-002
330,1.24E-001,1.92E+004,1.67E+002,1.06E+002,2.01E+001,1.89E+001,4.42E+001,2.96E-003,1.29E-003,6.61E+002,1.19E+000,4.44E-001,6.14E-006,8.88E-009,3.66E+001,7.71E-002,4.87E+001,4.00E-002,3.71E+001,1.10E-001,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.03E+007,1.57E+003,1.09E+001
331,1.47E-001,1.59E+004,4.92E+001,2.77E+001,1.90E+002,2.47E+001,1.68E+002,2.54E-003,6.06E-003,5.94E+002,8.39E-001,1.05E+000,4.64E-006,5.34E-009,2.24E+001,2.35E-002,7.77E+001,4.25E-002,5.32E+001,8.07E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.48E+007,1.00E+006,5.15E+004
332,1.21E-001,4.57E+002,1.74E+002,1.76E+002,1.91E+002,5.22E+001,8.58E+001,4.97E-003,2.50E-003,5.26E+002,8.11E-001,4.37E-001,3.33E-006,4.74E-009,1.04E+001,1.95E-002,6.51E+001,1.16E-001,6.21E+001,3.43E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.08E+007,4.94E+003,1.30E+002
333,5.66E-002,1.26E+004,1.78E+002,1.36E+002,1.11E+002,1.32E+002,1.54E+002,9.43E-004,6.57E-003,2.37E+002,7.92E-001,4.40E-001,9.88E-007,7.23E-009,2.75E+001,3.21E-002,8.15E+001,1.18E-001,9.02E+001,3.27E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,3.65E+006,3.53E+005,2.22E+005
334,1.88E-002,1.16E+004,9.62E+001,1.94E+002,3.91E+001,5.12E+001,1.93E+002,4.84E-003,6.77E-003,9.13E+002,8.83E-001,1.68E+000,4.47E-006,3.91E-009,1.33E+001,2.35E-002,1.14E+001,5.64E-002,6.28E+001,7.30E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,2.44E+006,9.48E+003,3.39E+001
335,2.06E-002,6.88E+003,1.18E+002,1.03E+002,1.84E+002,1.91E+002,1.45E+001,1.96E-003,3.47E-003,6.28E+002,1.63E+000,3.82E-001,8.42E-006,8.72E-009,2.49E+001,3.86E-002,4.64E+000,9.59E-002,4.43E+001,1.93E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,7.42E+006,6.30E+003,7.48E+003
336,5.67E-002,1.21E+004,6.02E+000,1.83E+001,9.76E+001,1.56E+002,1.43E+002,1.02E-003,1.10E-003,4.55E+002,5.35E-001,1.15E+000,8.27E-006,2.52E-009,2.55E+001,8.28E-002,3.02E+001,6.59E-002,7.06E+000,8.04E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.70E+006,9.42E+004,4.53E+004
337,1.33E-001,1.11E+004,1.57E+002,1.20E+002,1.24E+000,1.67E+001,1.15E+002,3.55E-003,1.92E-003,1.57E+002,8.83E-001,2.16E-001,7.49E-006,3.76E-009,1.38E+001,5.23E-002,2.62E+001,1.27E-001,2.55E+001,1.08E-001,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.34E+007,1.02E+001,1.67E+000
338,1.26E-003,5.77E+002,2.42E+001,7.45E+001,6.79E+001,1.53E+002,1.46E+002,4.79E-003,5.44E-003,7.69E+002,4.07E-001,1.84E+000,4.96E-006,6.96E-009,2.69E+001,2.21E-003,1.07E+001,1.30E-001,7.64E+001,1.48E-003,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,8.54E+006,3.21E+000,2.07E-001
