,Ki,P1_init,P2_init,P3_init,P4_init,P5_init,k1,k2,k3,k4,k6,k7,k8_FA,k8_FA_coA,k9,k10,k11,k12,k13,k14,k19,k20,k21,k22,k23,Tox_coA,unreg,reg
15,1.56E-001,1.23E+004,5.69E+001,9.98E+001,3.58E+001,4.72E+001,7.40E+001,3.26E-003,7.90E-004,4.39E+002,1.45E+000,1.38E+000,6.28E-006,8.72E-009,3.69E+001,1.39E-002,1.99E+001,1.20E-001,5.90E+001,1.82E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.89E+007,1.67E+002,1.05E+001
16,8.61E-002,1.05E+004,7.45E+001,1.39E+002,1.21E+002,3.46E+001,2.66E+001,5.75E-003,1.91E-003,1.16E+002,5.00E-001,3.97E-001,1.68E-006,1.09E-009,1.43E+001,5.06E-002,3.66E+001,7.74E-002,2.61E+000,1.10E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.20E+007,7.46E+001,8.12E+000
17,1.59E-001,1.05E+004,1.14E+002,6.40E+001,7.13E+001,1.78E+002,1.14E+002,3.57E-003,1.06E-003,6.46E+002,1.53E+000,4.92E-001,6.69E-006,4.08E-009,2.05E+001,6.58E-002,2.24E+001,1.24E-001,8.54E+001,1.20E-001,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,2.64E+005,2.61E+005,2.73E+005
18,1.27E-001,1.69E+004,1.96E+002,9.84E+001,1.84E+002,5.11E+001,2.39E+001,4.12E-003,6.31E-003,8.32E+002,7.20E-001,9.86E-001,4.82E-006,5.39E-010,2.72E+000,6.38E-002,4.54E+001,1.16E-001,6.37E+001,1.16E-001,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.87E+007,1.14E+005,1.04E+005
19,1.74E-001,1.11E+004,1.27E+001,7.54E+001,3.07E+001,1.50E+002,8.37E+001,3.29E-004,2.40E-003,3.67E+002,1.78E+000,1.40E+000,9.11E-006,3.42E-009,2.63E+001,6.41E-002,6.89E+000,9.26E-002,6.79E+000,8.78E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.27E+007,1.81E+005,1.80E+005
20,1.62E-002,7.44E+003,1.47E+002,8.16E+001,1.86E+002,1.67E+002,1.33E+002,3.26E-003,2.06E-004,3.26E+002,1.75E+000,8.39E-001,5.53E-006,5.14E-009,1.28E+001,3.68E-002,9.12E+001,1.17E-001,8.84E+001,3.33E-003,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.22E+007,5.87E-001,1.27E+000
21,1.46E-002,1.15E+004,3.57E+001,1.06E+002,1.74E+002,1.23E+002,1.94E+002,4.41E-003,9.99E-004,6.94E+002,9.20E-002,5.64E-001,5.62E-006,8.28E-009,3.57E+001,6.37E-002,8.34E+001,3.81E-002,7.11E+001,1.10E-001,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,7.51E+006,3.45E+001,1.98E-001
22,1.72E-001,1.69E+004,2.47E+001,5.39E+001,1.75E+001,1.64E+002,2.52E+001,3.06E-003,2.51E-004,2.88E+002,1.65E+000,4.32E-002,6.72E-006,2.57E-010,1.25E+001,4.82E-002,5.71E+001,8.35E-002,1.34E+001,1.01E-001,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.33E+004,7.62E+004,8.13E+004
23,9.01E-002,1.51E+004,1.41E+001,8.27E+000,1.03E+002,1.93E+002,3.37E+001,3.33E-003,4.82E-003,5.65E+002,1.31E+000,1.72E-001,6.63E-006,8.98E-009,9.49E+000,9.09E-002,4.32E+001,1.92E-002,3.30E+001,1.10E-001,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.72E+007,3.43E+004,3.27E+004
24,8.00E-002,9.55E+003,1.14E+000,1.94E+001,5.03E+001,2.64E+001,4.76E+001,4.20E-003,2.35E-003,5.64E+002,7.40E-001,7.63E-001,7.19E-006,9.14E-009,2.97E+001,5.84E-002,9.15E+001,1.20E-002,2.31E+001,8.80E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,2.23E+006,1.83E+005,5.43E+004
