kinittxn,kpol,ktrans,kfold,kobsminus,kobsplus,RNAthalf,Proteinthalf,EC,gamma_rel
0.16961584367070354,225.13376403555785,46.632908518026703,1.8822266807481245,7.6838013104608143e-08,1.4466525881346783e-05,51060.086435316567,129043.85109341964,0.34006806056215222,3.017288430299804
0.16101058024070561,212.5422690646059,50.587692620988747,2.0151060486739532,9.143634941477886e-08,1.71627865495907e-05,51607.057192351,118971.20007067014,0.34138261662235614,3.2074674937486214
0.17200784660588025,227.66075999944846,51.951583178495973,1.8378909755315369,8.799188946587215e-08,1.4254368954920797e-05,52903.799833910278,115592.02226262927,0.34627198846085966,3.0214494826976011
0.15577483065619738,196.70068572846753,54.980316940302664,1.9698755494789988,8.6937475230608448e-08,1.6823550431918118e-05,64699.335968714004,117013.11676263044,0.31338521201350578,3.4467230936542186
0.14958125957594498,205.34757092272778,52.296771838342117,1.9710672015544868,8.9341185508186921e-08,1.446419473999382e-05,76212.754381136619,117477.61532906357,0.33675864398290012,3.4155126967042557
0.17608926103490088,230.12597044624994,54.545242549038534,2.0087120586770948,8.8157890240114623e-08,1.6543546128435044e-05,47082.259464642091,124825.13397679859,0.33918593008683723,3.0739503416065421
0.17795160722498674,233.47796995645552,55.929300282111043,1.9077648547905333,8.256189457446163e-08,1.6854507955077409e-05,48566.806982788985,119690.46204110695,0.33064799052716282,3.1407801085287863
0.17347058839099644,229.36042135552981,48.763870589174346,1.8897209702826814,9.1310294701874009e-08,1.6713236268989027e-05,41241.86224503885,121636.5814383351,0.33814634853484571,2.943656174306359
0.14618530629524362,219.15385579687904,55.476200819442084,1.9557649743112975,7.9052821954757458e-08,1.5630154420548767e-05,59829.68374094044,119772.98684799211,0.3333507750485053,3.2761860550392532
0.15886092967129473,206.28613455480422,47.89453057183443,2.0527392500008461,9.276053218154599e-08,1.6368805838765352e-05,43730.371364922918,133554.1241490157,0.38108085291765115,2.9453590546955879
0.14843264068761061,230.589369080219,53.075306943766847,1.9927149117131473,8.939753687230329e-08,1.6419840391518497e-05,68311.170719587593,132918.32139360392,0.31605206448819784,3.4676368729189537
0.16871430775386662,214.71294755226023,48.182916504160943,1.9515381612325344,8.9309398906214647e-08,1.6615478354482384e-05,46428.005080146089,129734.39019654715,0.32892842868861366,3.071745603307479
0.17448470311220832,226.87058594064294,47.324448156308314,1.7661737170364513,9.3281703069164087e-08,1.6798294439364286e-05,60234.504701458158,134697.1227680161,0.37274428721656339,3.3143556745856473
0.16636915125456983,213.12232800455638,48.041869399129851,2.0804297418695414,8.3773928483628837e-08,1.4887526694732238e-05,75135.645781405125,140204.07182663854,0.3809343431554259,3.4067111800601326
